"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.318614793E0,6.301999688E-1,5.512999892E-1,-4.147000015E-1,9.343766746E-1
2.328614793E0,7.361999750E-1,3.929999843E-2,9.154999852E-1,1.175446773E0
2.338614793E0,1.782999933E-1,-6.204000115E-1,1.757399917E0,1.872202321E0
2.348614793E0,-2.058999985E-1,-8.720999956E-1,1.399899960E0,1.662129089E0
2.358614793E0,-4.590999782E-1,-6.171000004E-1,3.457999825E-1,8.433047067E-1
2.368614793E0,-3.060999811E-1,2.659999952E-2,-8.456999660E-1,8.997850803E-1
2.378614793E0,-8.720000088E-2,4.971999824E-1,-1.643299937E0,1.719082996E0
2.388614793E0,2.207999974E-1,6.568999887E-1,-1.234399915E0,1.415631797E0
2.398614793E0,4.627999961E-1,2.349999994E-1,2.699999809E-1,5.850716416E-1
2.408614793E0,1.864999980E-1,-6.617000103E-1,1.636099935E0,1.774669589E0
2.418614793E0,-3.179000020E-1,-1.042899966E0,2.072200060E0,2.341519558E0
2.428614793E0,-2.013999969E-1,-8.098999858E-1,1.480599999E0,1.699610633E0
2.438614793E0,2.423999906E-1,-1.191999987E-1,6.037999988E-1,6.614686944E-1
2.448614793E0,1.841999888E-1,6.566999555E-1,-2.924999893E-1,7.421190680E-1
2.458614793E0,-3.271999955E-1,9.213999510E-1,-6.976999640E-1,1.201175652E0
2.468614793E0,-5.830000043E-1,7.172999978E-1,-4.754999876E-1,1.039475122E0
2.478614793E0,-8.003000021E-1,1.118999943E-1,1.164999977E-1,8.164398028E-1
2.488614793E0,-8.998000026E-1,4.710000008E-2,3.757999837E-1,9.762602534E-1
2.498614793E0,-1.080399990E0,6.719999760E-2,-1.420999914E-1,1.091774879E0
2.508614793E0,-1.239799976E0,2.552999854E-1,-1.569999903E-1,1.275512078E0
2.518614793E0,-8.701999784E-1,2.034999877E-1,-7.793999910E-1,1.185801245E0
2.528614793E0,-5.893999934E-1,2.935999930E-1,4.223999977E-1,7.823139179E-1
2.538614793E0,-9.182999730E-1,-2.937999964E-1,8.806999922E-1,1.305842929E0
2.548614793E0,-6.010000110E-1,-8.957999945E-1,6.825999618E-1,1.276558401E0
2.558614793E0,1.773999929E-1,-1.610099912E0,8.314999938E-1,1.820792334E0
2.568614793E0,9.599999785E-1,-1.741699934E0,1.355399966E0,2.406704736E0
2.578614793E0,8.776999712E-1,-1.019500017E0,1.823199987E0,2.265788101E0
2.588614793E0,3.766999841E-1,-9.172999859E-1,1.974799991E0,2.209791199E0
2.598614793E0,-3.658999801E-1,-7.904999852E-1,1.230399966E0,1.507533449E0
2.608614793E0,-2.906999886E-1,1.842499971E0,-8.344999552E-1,2.043453646E0
2.618614793E0,5.900999904E-1,3.999599934E0,-2.601799965E0,4.807741745E0
2.628614793E0,6.951000094E-1,3.517699957E0,-2.705499887E0,4.491893437E0
2.638614793E0,2.996999919E-1,1.373399973E0,-1.384199977E0,1.972829731E0
2.648613230E0,-1.942999959E-1,-6.535999775E-1,-4.529999793E-1,8.186295867E-1
2.658614793E0,-1.506000012E-1,-1.771499991E0,6.199999899E-2,1.778970652E0
2.668614793E0,1.886999905E-1,-2.457099915E0,-3.231000006E-1,2.485425776E0
2.678614793E0,7.289999723E-2,-2.303499937E0,-8.851999640E-1,2.468806462E0
2.688614793E0,5.246999860E-1,-1.932099938E0,-1.724399924E0,2.642323853E0
2.698614793E0,7.487999797E-1,-1.898999929E0,-1.791299939E0,2.715816197E0
2.708614793E0,-6.247000098E-1,-2.305599928E0,-8.459999561E-1,2.534118595E0
2.718614793E0,-1.482599974E0,-1.971099973E0,1.355099916E0,2.814184352E0
2.728614793E0,-1.084900022E0,-9.394999743E-1,2.313400030E0,2.722404812E0
2.738614793E0,-3.140999973E-1,-9.640000015E-2,2.912999868E0,2.931470621E0
2.748614793E0,-1.592999995E-1,1.701999903E-1,2.355399847E0,2.366907891E0
2.758614793E0,4.743999839E-1,2.414999902E-1,1.697199941E0,1.778725732E0
2.768614793E0,6.353999972E-1,-2.400000021E-2,1.185599923E0,1.345346176E0
2.778614793E0,2.369899988E0,1.455699921E0,2.115900040E0,3.494641783E0
2.788614793E0,2.366499901E0,1.608099937E0,8.901000023E-1,2.996428742E0
2.798614793E0,2.872900009E0,-3.529999778E-2,9.389999509E-2,2.874650894E0
2.808614793E0,2.467700005E0,-5.979999900E-1,4.377000034E-1,2.576573033E0
2.818614793E0,2.268399954E0,-4.699999988E-1,4.609999955E-1,2.362003248E0
2.828614793E0,1.684799910E0,-4.830999970E-1,-4.949999973E-2,1.753392880E0
2.838614793E0,9.696999788E-1,1.819999889E-2,-4.038999975E-1,1.050611487E0
2.848614793E0,1.057999954E-1,1.086199999E0,-1.407499909E0,1.781033428E0
2.858614793E0,-6.699999571E-1,1.807799935E0,-2.595299959E0,3.233051566E0
2.868614793E0,-3.729999959E-1,1.776499987E0,-2.815199852E0,3.349691240E0
2.878614793E0,-4.878000021E-1,7.845999599E-1,-2.494899988E0,2.660464600E0
2.888614793E0,-3.671999872E-1,1.263999939E-1,-1.014799953E0,1.086568789E0
2.898614793E0,4.854999781E-1,8.269000053E-1,-4.417999983E-1,1.055775111E0
2.908614793E0,6.674999595E-1,6.755999923E-1,1.224499941E0,1.549642427E0
2.918614793E0,9.850999713E-1,2.159999870E-2,2.233799934E0,2.441464860E0
2.928614793E0,2.796200037E0,8.707999587E-1,1.453299999E0,3.269420148E0
2.938614793E0,1.586300015E0,2.597000003E-1,2.725199938E0,3.163938452E0
2.948614793E0,-6.297000051E-1,2.001999915E-1,2.281599998E0,2.375352750E0
2.958614793E0,-1.513799906E0,-2.039999962E-1,1.698799968E0,2.284540979E0
2.968614793E0,-2.503000021E0,1.188899994E0,-1.061999947E-1,2.773043588E0
2.978614793E0,-2.749099970E0,1.071099997E0,-4.793999791E-1,2.989085176E0
2.988614793E0,-1.658100009E0,1.315400004E0,6.171000004E-1,2.204628137E0
2.998614793E0,-1.019899964E0,7.590999603E-1,1.366699934E0,1.866627278E0
3.008614793E0,-7.509999722E-2,9.289000034E-1,1.258399963E0,1.565907307E0
3.018614793E0,7.423999906E-1,-1.099999994E-1,1.632200003E0,1.796478387E0
3.028614793E0,7.770999670E-1,-1.222999990E-1,1.558499932E0,1.745784548E0
3.038614793E0,6.013000011E-1,-2.354999930E-1,1.645499945E0,1.767679837E0
3.048614793E0,-7.775999904E-1,-1.486999989E-1,1.296800017E0,1.519362932E0
3.058614793E0,-1.250199914E0,-7.414999604E-1,9.651999474E-1,1.744830351E0
3.068614793E0,-1.265699983E0,2.149999887E-1,-2.238999903E-1,1.303208597E0
3.078614793E0,-5.077999830E-1,5.590000004E-2,-6.974999905E-1,8.645761213E-1
