"Time";"Marqueur 1/0/X";"Marqueur 1/0/Y"
"31,487";"30";"169"
"31,52";"30";"169"
"31,554";"30";"169"
"31,587";"30";"168"
"31,62";"30";"168"
"31,654";"30";"168"
"31,687";"30";"168"
"31,72";"30";"168"
"31,754";"30";"168"
"31,787";"29";"168"
"31,82";"29";"168"
"31,854";"29";"168"
"31,887";"29";"168"
"31,92";"29";"168"
"31,953";"28";"168"
"31,987";"28";"168"
"32,02";"28";"168"
"32,053";"28";"168"
"32,087";"27";"168"
"32,12";"27";"168"
"32,153";"27";"168"
"32,187";"27";"168"
"32,22";"26";"168"
"32,253";"26";"168"
"32,287";"26";"168"
"32,32";"26";"168"
"32,353";"26";"168"
"32,387";"26";"168"
"32,42";"25";"168"
"32,453";"25";"168"
"32,487";"25";"168"
"32,52";"25";"168"
"32,553";"25";"168"
"32,587";"25";"168"
"32,62";"25";"168"
"32,653";"25";"168"
"32,687";"25";"168"
"32,72";"25";"168"
"32,753";"25";"168"
"32,786";"25";"168"
"32,82";"25";"168"
"32,853";"25";"168"
"32,886";"25";"168"
"32,92";"25";"168"
"32,953";"25";"168"
"32,986";"25";"168"
"33,02";"25";"168"
"33,053";"25";"168"
"33,086";"25";"168"
"33,12";"26";"169"
"33,153";"26";"169"
"33,186";"26";"169"
"33,22";"26";"169"
"33,253";"26";"169"
"33,286";"26";"169"
"33,32";"25";"169"
"33,353";"25";"169"
"33,386";"24";"169"
"33,42";"24";"169"
"33,453";"24";"169"
"33,486";"24";"169"
"33,52";"24";"168"
"33,553";"24";"168"
"33,586";"25";"168"
"33,619";"25";"168"
"33,653";"25";"168"
"33,686";"26";"168"
"33,719";"26";"169"
"33,753";"26";"169"
"33,786";"26";"169"
"33,819";"25";"169"
"33,853";"25";"169"
"33,886";"25";"169"
"33,919";"24";"169"
"33,953";"24";"169"
"33,986";"23";"169"
"34,019";"23";"169"
"34,053";"23";"169"
"34,086";"23";"169"
"34,119";"23";"169"
"34,153";"23";"169"
"34,186";"23";"169"
"34,219";"23";"169"
"34,253";"23";"169"
"34,286";"23";"169"
"34,319";"23";"169"
"34,353";"22";"169"
"34,386";"22";"169"
"34,419";"22";"169"
"34,452";"22";"169"
"34,486";"21";"169"
"34,519";"21";"169"
"34,552";"21";"169"
"34,586";"21";"169"
"34,619";"21";"169"
"34,652";"21";"169"
"34,686";"21";"169"
"34,719";"22";"169"
"34,752";"22";"169"
"34,786";"22";"169"
"34,819";"22";"169"
"34,852";"23";"169"
"34,886";"23";"169"
"34,919";"23";"169"
"34,952";"23";"169"
"34,986";"23";"169"
"35,019";"23";"169"
"35,052";"23";"169"
"35,086";"23";"168"
"35,119";"23";"169"
"35,152";"23";"169"
"35,185";"23";"169"
"35,219";"23";"169"
"35,252";"23";"169"
"35,285";"23";"169"
"35,319";"23";"169"
"35,352";"23";"169"
"35,385";"23";"169"
"35,419";"23";"169"
"35,452";"24";"169"
"35,485";"24";"169"
"35,519";"24";"169"
"35,552";"24";"169"
"35,585";"24";"169"
"35,619";"24";"169"
"35,652";"24";"169"
"35,685";"24";"169"
"35,719";"24";"169"
"35,752";"24";"169"
"35,785";"24";"169"
"35,819";"24";"169"
"35,852";"23";"169"
"35,885";"23";"169"
